#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2021 01 23 21 00  90 10.0 14.0    MM    MM    MM  MM 1019.8  23.8  23.8  19.7   MM +0.7    MM
2021 01 23 20 50  90 10.0 13.0   4.7    17   8.9 310 1020.0  23.8  23.8  19.7   MM   MM    MM
2021 01 23 20 40  90 10.0 13.0   4.7    MM   8.9 310 1020.1  23.8  23.8  19.4   MM   MM    MM
2021 01 23 20 30  80 11.0 14.0    MM    MM    MM  MM 1020.0  23.9  23.8  19.5   MM   MM    MM
2021 01 23 20 20  90 11.0 14.0    MM    MM    MM  MM 1020.0  24.0  23.8  19.2   MM   MM    MM
2021 01 23 20 10  90 10.0 13.0    MM    MM    MM  MM 1020.0  24.0  23.8  19.0   MM   MM    MM
2021 01 23 20 00  90 11.0 14.0    MM    MM    MM  MM 1020.0  24.0  23.8  19.0   MM +1.5    MM
2021 01 23 19 50  90 11.0 15.0   4.3    17   8.4 294 1020.0  24.0  23.7  18.8   MM   MM    MM
2021 01 23 19 40  90 11.0 14.0   4.3    MM   8.4 294 1019.9  24.0  23.7  18.8   MM   MM    MM
2021 01 23 19 30  90 11.0 14.0    MM    MM    MM  MM 1020.0  24.0  23.7  18.6   MM   MM    MM
2021 01 23 19 20  90 11.0 13.0    MM    MM    MM  MM 1020.1  24.0  23.7  18.7   MM   MM    MM
2021 01 23 19 10  90 11.0 14.0    MM    MM    MM  MM 1020.0  24.0  23.7  18.6   MM   MM    MM
2021 01 23 19 00  90 10.0 13.0    MM    MM    MM  MM 1019.9  23.9  23.7  18.8   MM +1.7    MM
2021 01 23 18 50  80 11.0 14.0   4.3    17   8.2 306 1019.8  23.9  23.7  18.8   MM   MM    MM
2021 01 23 18 40  90 11.0 13.0   4.3    MM   8.2 306 1019.8  23.9  23.7  18.6   MM   MM    MM
